City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
5,Isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
6,Rikitea,PF,77.95,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
11,Gizo,SB,84.92,broken clouds,-8.103,156.8419,Gizo Hotel
18,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
20,Tema,GH,81.01,broken clouds,5.667,-0.0166,Macbaron
22,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,Ibis Styles
28,Faanui,PF,79.07,light rain,-16.4833,-151.75,Oa Oa Lodge
33,Vaini,TO,80.76,light intensity drizzle,-21.2,-175.2,Keleti International Resort
46,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
58,Acajutla,SV,75.25,clear sky,13.5928,-89.8275,Hotel Lara
59,Vao,NC,76.69,overcast clouds,-22.6667,167.4833,Nataiwatch
61,Hithadhoo,MV,79.65,overcast clouds,-0.6,73.0833,Pebbles Inn
71,Sao Filipe,CV,75.29,broken clouds,14.8961,-24.4956,Bela Vista
79,Aden,YE,76.44,broken clouds,12.7794,45.0367,فندق قصر الجزيرة
81,Denpasar,ID,83.86,light rain,-8.65,115.2167,Hotel Candra Adiguna
100,Bengkulu,ID,79.95,scattered clouds,-3.8004,102.2655,Dena Hotel
103,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
106,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
111,Pocone,BR,76.62,overcast clouds,-16.2567,-56.6228,Andirah
114,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Prainha
136,Lorengau,PG,83.77,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
142,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
153,Albury,AU,93.33,overcast clouds,-36.0833,146.9167,Mantra Hotel
158,Itarema,BR,77.45,overcast clouds,-2.9248,-39.9167,Pousada Oásis
