City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,71.8,79,96,18.01,overcast clouds
1,Tucurui,BR,-3.7661,-49.6725,72.21,98,100,2.64,overcast clouds
2,Alofi,NU,-19.0595,-169.9187,78.69,83,52,5.75,broken clouds
3,Avarua,CK,-21.2078,-159.775,80.65,69,75,6.91,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,51.91,71,0,25.32,light rain
5,Isangel,VU,-19.55,169.2667,86.11,70,88,4.61,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,77.95,72,10,12.1,clear sky
7,Busselton,AU,-33.65,115.3333,71.13,47,1,16.6,clear sky
8,Tuatapere,NZ,-46.1333,167.6833,75.29,44,11,2.89,few clouds
9,Richards Bay,ZA,-28.783,32.0377,70.97,95,4,5.17,clear sky
10,Cayenne,GF,4.9333,-52.3333,73.44,88,40,1.14,scattered clouds
11,Gizo,SB,-8.103,156.8419,84.92,70,76,9.51,broken clouds
12,Lavrentiya,RU,65.5833,-171.0,-5.13,86,99,13.15,overcast clouds
13,Manavgat,TR,36.7867,31.4431,53.4,56,100,3.06,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,1.92,85,100,4.61,light snow
15,Barrow,US,71.2906,-156.7887,-16.58,76,100,17.27,haze
16,Lebu,CL,-37.6167,-73.65,55.9,83,100,19.1,overcast clouds
17,Onega,RU,63.9061,38.1404,32.99,90,100,15.88,overcast clouds
18,Kapaa,US,22.0752,-159.319,80.92,71,0,5.75,clear sky
19,Mataura,NZ,-46.1927,168.8643,81.77,30,3,7.27,clear sky
20,Tema,GH,5.667,-0.0166,81.01,89,75,3.44,broken clouds
21,Kovur,IN,14.4833,79.9833,66.04,88,83,3.49,broken clouds
22,Mount Isa,AU,-20.7333,139.5,82.17,61,100,12.66,overcast clouds
23,Lasa,IT,46.6166,10.7002,30.02,91,100,2.59,light snow
24,Frederikshavn,DK,57.4407,10.5366,41.29,73,28,24.56,scattered clouds
25,East Wenatchee Bench,US,47.4257,-120.2812,42.08,98,100,5.75,mist
26,Kiruna,SE,67.8557,20.2251,16.72,86,100,6.91,snow
27,Sinnamary,GF,5.3833,-52.95,74.7,90,100,6.6,overcast clouds
28,Faanui,PF,-16.4833,-151.75,79.07,75,100,19.42,light rain
29,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,47,12.91,scattered clouds
30,Cape Town,ZA,-33.9258,18.4232,70.21,76,0,20.71,clear sky
31,Costa Rica,BR,-23.4167,-54.65,71.38,89,22,2.59,few clouds
32,Bluff,NZ,-46.6,168.3333,66.58,63,3,5.75,clear sky
33,Vaini,TO,-21.2,-175.2,80.76,94,75,8.05,light intensity drizzle
34,Norman Wells,CA,65.282,-126.8329,-5.76,84,100,0.0,light snow
35,Gora,PL,51.6664,16.5349,38.07,70,36,11.27,scattered clouds
36,Klaksvik,FO,62.2266,-6.589,29.32,64,100,23.15,light snow
37,Bongandanga,CD,1.5,21.05,73.45,75,100,1.63,overcast clouds
38,Port Alfred,ZA,-33.5906,26.891,69.19,92,100,16.96,overcast clouds
39,Ranong,TH,9.9658,98.6348,71.53,66,37,3.11,scattered clouds
40,Pangnirtung,CA,66.1451,-65.7125,-43.11,94,84,5.44,broken clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,74.64,89,98,24.0,overcast clouds
42,Balsas,BR,-7.5325,-46.0356,72.81,87,100,1.99,overcast clouds
43,Suntar,RU,62.1444,117.6319,-70.04,100,93,0.78,overcast clouds
